Image.Var,Image.Skew,Image.Curt,Entropy,Class
5.9374,6.1664,-2.5905,-0.36553,0
-5.2049,7.259,0.070827,-7.3004,1
3.6894,9.887,-4.0788,-4.3664,0
-4.3667,6.0692,0.57208,-5.4668,1
0.16358,-3.3584,1.3749,1.3569,1
-1.4628,-1.5706,2.4357,0.49826,1
3.757,-5.4236,3.8255,-1.2526,0
0.59823,3.5012,-3.9795,-1.7841,1
0.0096613,3.5612,-4.407,-4.4103,1
1.5631,0.89599,-1.9702,0.65472,1
2.3136,10.6651,-3.5288,-4.7672,0
-3.6817,3.2239,-0.69347,-3.4004,1
-1.9423,0.3766,-1.2898,-0.82458,1
1.5356,9.1772,-2.2718,-0.73535,0
1.6426,3.0149,0.22849,-0.147,0
-3.3924,3.3564,-0.72004,-3.5233,1
4.223,1.1319,0.72202,0.96118,0
-4.3967,4.9601,-0.64892,-5.4719,1
-3.2051,-0.14279,0.97565,0.045675,1
0.40614,1.3492,-1.4501,-0.55949,1
4.0552,-2.4583,2.2806,1.0323,0
0.83292,7.5404,0.65005,-0.92544,0
4.5707,7.2094,-3.2794,-1.4944,0
0.7376,4.8525,-4.7986,-5.6659,1
-1.6244,-6.3444,4.6575,0.16981,1
-1.8187,-9.0366,9.0162,-0.12243,1
-1.6386,3.3584,-1.7302,-3.5646,1
5.7403,-0.44284,0.38015,1.3763,0
1.0182,9.109,-0.62064,-1.7129,0
3.2032,5.7588,-0.75345,-0.61251,0
-0.81479,-5.7381,4.3919,0.3211,1
3.5189,6.332,-1.7791,-0.020273,0
0.5195,-3.2633,3.0895,-0.9849,0
1.1315,7.9212,1.093,-2.8444,0
-2.62,-6.8555,6.2169,-0.62285,1
-0.9607,2.6963,-3.1226,-1.3121,1
-1.7713,-10.7665,10.2184,-1.0043,1
-2.1674,0.12415,-1.0465,-0.86208,1
-0.23356,3.2405,-3.0669,-2.7784,1
-3.9934,5.8333,0.54723,-4.9379,1
5.3586,3.7557,-1.7345,1.0789,0
-1.9966,-9.5001,9.682,-0.12889,1
-1.4781,0.14277,-1.1622,-0.48579,1
1.0987,0.6394,5.989,-0.58277,0
0.89512,4.7738,-4.8431,-5.5909,1
0.96441,5.8395,2.3235,0.066365,0
3.1219,-3.137,1.9259,-0.37458,0
-0.40951,-0.15521,0.060545,-0.088807,1
4.068,-2.9363,2.1992,0.50084,0
-1.9458,11.2217,1.9079,-3.4405,0
3.4769,-0.15314,2.53,2.4495,0
1.3087,4.9228,2.0013,0.22024,0
3.4667,-4.0724,4.2882,1.5418,0
3.2303,7.8384,-3.5348,-1.2151,0
-1.5449,-10.1498,9.6152,-1.2332,1
1.594,4.7055,1.3758,0.081882,0
0.76163,5.8209,1.1959,-0.64613,0
1.2138,8.7986,-2.1672,-0.74182,0
3.2585,-4.4614,3.8024,-0.15087,0
-4.4996,3.4288,0.56265,-1.1672,1
3.3951,1.1484,2.1401,2.0862,0
-1.7886,-6.3486,5.6154,0.42584,1
-0.12196,8.8068,0.94566,-4.2267,0
1.8592,3.2074,-0.15966,-0.26208,0
0.25035,9.3262,-3.6873,-6.2543,0
-0.53072,-0.097265,-0.21793,1.0426,1
3.5358,6.7086,-0.81857,0.47886,0
0.24394,1.4733,-1.4192,-0.58535,1
0.75108,1.9161,-3.1098,-0.20518,1
-0.8734,1.6533,-2.1964,-0.78061,1
3.0632,-3.3315,5.1305,0.8267,0
-2.9883,0.31245,0.45041,0.068951,1
-4.2249,6.2699,0.15822,-5.5457,1
-2.0962,-7.1059,6.6188,-0.33708,1
-1.7549,-0.080711,-0.75774,-0.3707,1
-2.0529,3.8385,-0.79544,-1.2138,1
-0.28015,3.0729,-3.3857,-2.9155,1
4.8077,2.2327,-0.26334,1.5534,0
-5.4901,9.1048,-0.38758,-5.9763,1
3.0864,-2.5845,2.2309,0.30947,0
1.105,7.4432,0.41099,-3.0332,0
3.2697,-4.3414,3.6884,-0.29829,0
-1.8448,1.254,0.27218,-1.0728,1
3.1887,-3.4143,2.7742,-0.2026,0
3.2403,-3.7082,5.2804,0.41291,0
-5.0676,-5.1877,10.4266,-0.86725,1
0.49571,10.2243,-1.097,-4.0159,0
-0.023579,7.1742,0.78457,-0.75734,0
-1.1804,11.5093,0.15565,-6.8194,0
-0.82053,0.65181,-0.48869,-0.52716,1
2.6682,10.216,-3.4414,-4.0069,0
3.482,-4.1634,3.5008,-0.078462,0
2.486,-0.99533,5.3404,-0.15475,0
-3.0731,-0.53181,2.3877,0.77627,1
1.762,4.3682,2.1384,0.75429,0
-2.1405,-0.16762,1.321,-0.20906,1
-1.9116,-6.1603,5.606,0.48533,1
-0.71868,-5.7154,3.8298,1.0233,1
4.616,10.1788,-4.2185,-4.4245,0
0.77765,5.9781,1.1941,-0.3526,0
-0.036127,1.525,-1.4089,-0.76121,1
1.7425,3.6833,-4.0129,-1.7207,1
1.9358,8.1654,-0.023425,-2.2586,0
3.2718,1.7837,2.1161,0.61334,0
0.025013,3.3998,-4.4327,-4.2655,1
-2.0285,3.8468,-0.63435,-1.175,1
3.6277,0.9829,0.68861,0.63403,0
-3.3203,-0.02691,2.9618,-0.44958,1
-6.1536,7.9295,0.61663,-3.2646,1
-2.7914,1.7734,6.7756,-0.39915,0
3.9364,10.5885,-3.725,-4.3133,0
-3.0193,1.7775,0.73745,-0.45346,1
0.52855,0.96427,4.0243,-1.0483,0
-4.4779,7.3708,-0.31218,-6.7754,1
-0.65767,-2.8018,3.7115,0.99739,1
-0.55648,3.2136,-3.3085,-2.7965,1
-1.0292,-6.3879,5.5255,0.79955,1
0.11032,1.9741,-3.3668,-0.65259,1
-0.77461,-1.8768,2.4023,1.1319,1
0.68087,2.3259,4.9085,0.54998,0
0.11806,0.39108,-0.98223,0.42843,1
-3.5359,0.30417,0.6569,-0.2957,1
-0.78689,9.5663,-3.7867,-7.5034,0
-4.1479,7.1225,-0.083404,-6.4172,1
4.2188,6.8162,-1.2804,0.76076,0
3.6702,2.9942,0.85141,0.30688,0
-2.2261,12.5398,2.9438,-3.5258,0
-0.38214,8.3909,2.1624,-3.7405,0
-3.9933,2.6218,0.62863,-1.1595,1
2.093,8.3061,0.022844,-3.2724,0
-4.4775,-13.0303,17.0834,-3.0345,1
-2.4941,3.5447,-1.3721,-2.8483,1
0.2952,4.8856,-5.149,-6.2323,1
-1.4106,-7.108,5.6454,0.31335,1
-1.6706,-2.09,1.584,0.71162,1
-1.2846,3.2715,-1.7671,-3.2608,1
2.2526,9.9636,-3.1749,-2.9944,0
-2.1786,-6.4479,6.0344,-0.20777,1
2.229,9.6325,-3.1123,-2.7164,0
-2.456,-0.24418,1.4041,-0.45863,1
-1.2568,-1.4733,2.8718,0.44653,1
1.0235,6.901,-2.0062,-2.7125,0
-2.2173,1.4671,-0.72689,-1.1724,1
2.1319,-2.0403,2.5574,-0.061652,0
-1.0833,-0.31247,1.2815,0.41291,1
-2.902,-7.6563,11.8318,-0.84268,1
3.1836,7.2321,-1.0713,-2.5909,0
-0.49948,1.7734,-2.2469,-0.68104,1
-2.2527,11.5321,2.5899,-3.2737,0
-2.6479,10.1374,-1.331,-5.4707,0
3.0948,8.7324,-2.9007,-0.96682,0
4.0215,-2.7004,2.4957,0.36636,0
4.2756,-2.6528,2.1375,0.94437,0
-0.89809,-4.4862,2.2009,0.50731,1
1.742,-4.809,8.2142,-2.0659,0
0.88298,0.66009,6.0096,-0.43277,0
4.5691,-4.4552,3.1769,0.0042961,0
5.2012,0.32694,0.17965,1.1797,0
-4.0173,-8.3123,12.4547,-1.4375,1
0.44125,2.9487,4.3225,0.7155,0
0.066129,2.4914,-2.9401,-0.62156,1
2.5068,1.1588,3.9249,0.12585,0
1.5673,7.9274,-0.056842,-2.1694,0
-3.0265,-0.062088,0.68604,-0.055186,1
3.4985,3.1639,0.22677,-0.1651,0
-2.565,-5.7899,6.0122,0.046968,1
3.245,6.63,-0.63435,0.86937,0
2.7659,0.66216,4.1494,-0.28406,0
4.9249,0.68906,0.77344,1.2095,0
-5.119,6.6486,-0.049987,-6.5206,1
2.7961,2.121,1.8385,0.38317,0
-1.0941,2.3072,-2.5237,-1.4453,1
-0.51003,-0.23591,0.020273,0.76334,1
3.8027,0.81529,2.1041,1.0245,0
2.805,0.57732,1.3424,1.2133,0
4.1454,7.257,-1.9153,-0.86078,0
-0.21888,-2.2038,-0.0954,0.56421,1
1.8664,7.7763,-0.23849,-2.9634,0
3.744,0.79459,0.95851,1.0077,0
2.7296,2.8701,0.51124,0.5099,0
-0.4294,-0.14693,0.044265,-0.15605,1
-3.5916,-6.2285,10.2389,-1.1543,1
2.8209,7.3108,-0.81857,-1.8784,0
-1.5252,-6.2534,5.3524,0.59912,1
-4.9462,3.5716,0.82742,-1.4957,1
-1.5768,10.843,2.5462,-2.9362,0
-2.4824,-7.3046,6.839,-0.59053,1
0.12126,0.22347,-0.47327,0.97024,1
-2.2677,3.2964,-2.2563,-2.4642,1
-3.4917,-12.1736,14.3689,-0.61639,1
2.0153,1.8479,3.1375,0.42843,0
4.7114,2.0755,-0.2702,1.2379,0
-2.4604,12.7302,0.91738,-7.6418,0
0.3798,0.7098,0.7572,-0.4444,0
4.65,-4.8297,3.4553,-0.25174,0
-2.7264,3.9213,-0.49212,-3.6371,1
3.4805,9.7008,-3.7541,-3.4379,0
-2.3983,12.606,2.9464,-5.7888,0
-4.211,-12.4736,14.9704,-1.3884,1
5.6272,10.0857,-4.2931,-3.8142,0
3.7352,9.5911,-3.9032,-3.3487,0
2.1265,6.8783,0.44784,-2.2224,0
-1.1005,-7.2508,6.0139,0.36895,1
0.98296,3.4226,-3.9692,-1.7116,1
2.8261,9.4007,-3.3034,-1.0509,0
-3.2692,-12.7406,15.5573,-0.14182,1
-2.9098,-10.0712,8.4156,-1.9948,1
-1.7344,2.0175,7.7618,0.93532,0
-3.3458,-0.50491,2.6328,0.53705,1
-0.016103,9.7484,0.15394,-1.6134,0
-0.21394,-0.68287,0.096532,1.1965,1
1.5904,2.2121,-3.1183,-0.11725,1
5.4021,3.1039,-1.1536,1.5651,0
2.2517,-5.1422,4.2916,-1.2487,0
-5.4414,7.2363,0.10938,-7.5642,1
4.5645,-3.6275,2.8684,0.27714,0
4.8906,-3.3584,3.4202,1.0905,0
2.3917,4.5565,-4.9888,-2.8987,1
0.52374,3.644,-4.0746,-1.9909,1
-0.30432,2.6528,-2.7756,-0.65647,1
-0.8734,-0.033118,-0.20165,0.55774,1
-1.4094,-2.1252,-0.10397,-0.19225,1
4.0405,0.51524,1.0279,1.106,0
-0.49241,0.89392,-1.6283,-0.56854,1
1.9265,7.7557,-0.16823,-3.0771,0
0.9297,-3.7971,4.6429,-0.2957,0
-5.1216,-5.3118,10.3846,-1.0612,1
5.7227,5.8312,-2.4097,-0.24527,0
-0.16108,-6.4624,8.3573,-1.5216,0
0.32924,-4.4552,4.5718,-0.9888,0
1.1811,8.3847,-2.0567,-0.90345,0
0.64376,3.764,-4.4738,-4.0483,1
-1.3995,-1.9162,2.5154,0.59912,1
0.12326,8.9848,-0.9351,-2.4332,0
3.7522,-3.6978,3.9943,1.3051,0
5.504,10.3671,-4.413,-4.0211,0
5.3063,5.2684,-2.8904,-0.52716,0
-5.4808,8.1819,0.27818,-5.0323,1
5.1321,-0.031048,0.32616,1.1151,0
4.0446,11.1741,-4.3582,-4.7401,0
0.63655,5.2022,-5.2159,-6.1211,1
3.8584,0.78425,1.1033,1.7008,0
4.6765,-3.3895,3.4896,1.4771,0
0.14783,7.946,1.0742,-3.3409,0
-1.3885,12.5026,0.69118,-7.5487,0
0.2346,-4.5152,2.1195,1.4448,1
-1.3414,-1.9162,-0.15538,-0.11984,1
-1.1193,10.7271,2.0938,-5.6504,0
5.1129,-0.49871,0.62863,1.1189,0
-4.3876,-7.7267,11.9655,-1.4543,1
-1.2667,2.8183,-2.426,-1.8862,1
-5.0477,-5.8023,11.244,-0.3901,1
0.33565,6.8369,0.69718,-0.55691,0
-2.0545,-10.8679,9.4926,-1.4116,1
-3.5798,0.45937,2.3457,-0.45734,1
3.1377,-4.1096,4.5701,0.98963,0
-5.1661,8.0433,0.044265,-4.4983,1
4.4072,-0.070365,2.0416,1.1319,0
2.8033,9.0862,-3.3668,-1.0224,0
-2.4835,-7.4494,6.8964,-0.64484,1
0.3798,0.7098,0.7572,-0.4444,0
-2.5701,-6.8452,8.9999,2.1353,1
0.46901,-0.63321,7.3848,0.36507,0
-5.2943,-5.1463,10.3332,-1.1181,1
-6.2003,8.6806,0.0091344,-3.703,1
1.1676,9.1566,-2.0867,-0.80647,0
1.3518,1.0595,-2.3437,0.39998,1
1.9321,6.0423,0.26019,-2.053,0
3.6181,-3.7454,2.8273,-0.71208,0
-4.0786,2.9239,0.87026,-0.65389,1
-2.7723,3.2777,-0.9351,-3.1457,1
-3.4605,2.6901,0.16165,-1.0224,1
3.359,9.8022,-3.8209,-3.7133,0
1.0117,0.9022,-2.3506,0.42714,1
-1.8356,-6.7562,5.0585,-0.55044,1
2.483,6.6155,-0.79287,-0.90863,0
0.96414,5.616,2.2138,-0.12501,0
-3.6012,-6.5389,10.5234,-0.48967,1
4.0552,0.40143,1.4563,0.65343,0
0.37984,0.70975,0.75716,-0.44441,0
-1.5621,-2.2121,4.2591,0.27972,1
-2.0042,-9.3676,9.3333,-0.10303,1
2.549,6.1499,-1.1605,-1.2371,0
-4.2932,3.3419,0.77258,-0.99785,1
-1.8629,-0.84841,2.5377,0.097399,1
0.86736,5.5643,1.6765,-0.16769,0
0.15423,0.11794,-1.6823,0.59524,1
-1.1313,1.9037,7.5339,1.022,0
0.86816,10.2429,-1.4912,-4.0082,0
2.4012,1.6223,3.0312,0.71679,0
3.4626,-4.449,3.5427,0.15429,0
-0.87874,-2.2121,-0.051701,0.099985,1
4.9362,7.6046,-2.3429,-0.85302,0
5.1213,8.5565,-3.3917,-1.5474,0
-1.7015,-0.010356,-0.99337,-0.53104,1
-0.77288,-7.4473,6.492,0.36119,1
0.19081,9.1297,-3.725,-5.8224,0
1.5701,7.9129,0.29018,-2.1953,0
2.108,6.7955,-0.1708,0.4905,0
-0.49081,2.8452,-3.6436,-3.1004,1
-2.8391,-6.63,10.4849,-0.42113,1
3.5152,6.8224,-0.67377,-0.46898,0
-0.91718,9.9884,1.1804,-5.2263,0
-2.9786,2.3445,0.52667,-0.40173,1
4.5679,3.1929,-2.1055,0.29653,0
-3.4083,4.8587,-0.76888,-4.8668,1
-3.6227,3.9958,-0.35845,-3.9047,1
1.2746,8.8172,-1.5323,-1.7957,0
1.9429,6.3961,0.092248,0.58102,0
-2.6479,10.1374,-1.331,-5.4707,0
-2.3518,-4.8359,6.6479,-0.060358,1
-1.6988,-7.1163,5.7902,0.16723,1
0.75896,0.29176,-1.6506,0.83834,1
3.4642,10.6878,-3.4071,-4.109,0
-3.5985,-13.6593,17.6052,-2.4927,1
1.1472,3.5985,1.9387,-0.43406,0
4.0715,7.6398,-2.0824,-1.1698,0
1.934,-9.2828e-06,4.816,-0.33967,0
-3.8952,3.8157,-0.31304,-3.8194,1
-0.2062,9.2207,-3.7044,-6.8103,0
-4.4018,-12.9371,15.6559,-1.6806,1
4.8851,1.5995,-0.00029081,1.6401,0
-0.26654,-0.64562,-0.42014,0.89136,1
-1.2528,10.2036,2.1787,-5.6038,0
5.1302,8.6703,-2.8913,-1.5086,0
4.9264,5.496,-2.4774,-0.50648,0
4.3848,-3.0729,3.0423,1.2741,0
-4.0025,-13.4979,17.6772,-3.3202,1
-4.1244,3.7909,-0.6532,-4.1802,1
-2.1234,1.1815,-0.55552,-0.81165,1
-0.048008,-0.56078,7.7215,0.453,0
-0.53966,7.3273,0.46583,-1.4543,0
4.5447,8.2274,-2.4166,-1.5875,0
4.6054,-4.0765,2.7587,0.31981,0
-2.0046,-0.49457,1.333,1.6543,1
3.1557,2.8908,0.59693,0.79825,0
-1.8215,2.7521,-0.72261,-2.353,1
0.37637,-0.82358,0.78543,0.74524,1
-6.7526,8.8172,-0.061983,-3.725,1
4.988,7.2052,-3.2846,-1.1608,0
5.0452,3.8964,-1.4304,0.86291,0
3.0329,2.2948,2.1135,0.35084,0
0.92703,9.4318,-0.66263,-1.6728,0
3.5594,1.3078,1.291,1.6556,0
4.0524,5.6802,-1.9693,0.026279,0
3.4246,-0.14693,0.80342,0.29136,0
-3.5895,-6.572,10.5251,-0.16381,1
-0.36506,2.8928,-3.6461,-3.0603,1
-2.4953,11.1472,1.9353,-3.4638,0
2.5817,9.7546,-3.1749,-2.9957,0
-1.6677,-7.1535,7.8929,0.96765,1
0.22432,-0.52147,-0.40386,1.2017,1
3.6575,7.2797,-2.2692,-1.144,0
5.7823,5.5788,-2.4089,-0.056479,0
-2.4115,-9.1359,9.3444,-0.65259,1
-1.7279,-6.841,8.9494,0.68058,1
3.9719,1.0367,0.75973,1.0013,0
3.946,6.8514,-1.5443,-0.5582,0
-7.0421,9.2,0.25933,-4.6832,1
-2.9138,-9.4711,9.7668,-0.60216,1
0.66365,-0.045533,-0.18794,0.23447,1
0.89566,7.7763,-2.7473,-1.9353,0
-0.13144,-1.7775,8.3316,0.35214,0
2.2123,-5.8395,7.7687,-0.85302,0
-5.2406,6.6258,-0.19908,-6.8607,1
4.9294,0.27727,0.20792,0.33662,0
0.85574,0.0082678,6.6042,-0.53104,0
2.2504,3.5757,0.35273,0.2836,0
3.4647,-3.9172,3.9746,0.36119,0
-0.39816,5.9781,1.3912,-1.1621,0
2.1943,4.5503,-4.976,-2.7254,1
-1.4427,3.2922,-1.9702,-3.4392,1
0.11686,3.735,-4.4379,-4.3741,1
5.807,5.0097,-2.2384,0.43878,0
-1.6641,-1.3678,1.997,0.52283,1
-0.40804,0.54214,-0.52725,0.6586,1
1.3566,4.2358,2.1341,0.3211,0
-5.3012,7.3915,0.029699,-7.3987,1
4.8368,10.0132,-4.3239,-4.3276,0
-1.6514,-8.4985,9.1122,1.2379,1
-2.1059,1.1815,-0.53324,-0.82716,1
3.5982,7.1307,-1.3035,0.21248,0
-0.8172,3.3812,-3.6684,-3.456,1
-3.5713,-12.4922,14.8881,-0.47027,1
-0.025314,-0.17383,-0.11339,1.2198,1
-0.95403,1.9824,-2.3163,-1.1957,1
-2.6286,0.18002,1.7956,0.97282,1
-3.3793,-13.7731,17.9274,-2.0323,1
2.6718,5.6574,0.72974,-1.4892,0
-0.7056,8.7241,2.2215,-4.5965,0
0.72252,-0.053811,5.6703,-1.3509,0
4.1425,-3.6792,3.8281,1.6297,0
-0.24745,1.9368,-2.4697,-0.80518,1
-0.278,8.1881,-3.1338,-2.5276,0
-0.9854,-6.661,5.8245,0.5461,1
0.4339,5.5395,2.033,-0.40432,0
-1.1859,-1.2519,2.2635,0.77239,1
1.6408,4.2503,-4.9023,-2.6621,1
-2.564,-1.7051,1.5026,0.32757,1
4.6562,7.6398,-2.4243,-1.2384,0
3.9121,2.9735,0.92852,0.60558,0
2.9856,7.2673,-0.409,-2.2431,0
2.3718,7.4908,0.015989,-1.7414,0
5.2423,11.0272,-4.353,-4.1013,0
3.7635,2.7811,0.66119,0.34179,0
0.5195,-3.2633,3.0895,-0.9849,0
2.6562,10.7044,-3.3085,-4.0767,0
4.0329,0.23175,0.89082,1.1823,0
-2.2617,-4.7428,6.3489,0.11162,1
-1.6637,3.2881,-2.2701,-2.2224,1
0.74067,1.7299,-3.1963,-0.1457,1
-2.5419,-0.65804,2.6842,1.1952,1
-1.8974,3.5074,-1.7842,-3.8491,1
-1.3612,10.694,1.7022,-2.9026,0
2.4226,-4.5752,5.947,0.21507,0
-3.8073,-8.0971,10.1772,0.65084,1
-1.8348,11.0334,3.1863,-4.8888,0
3.9529,-2.3548,2.3792,0.48274,0
0.39012,-0.14279,-0.031994,0.35084,1
-1.8584,7.886,-1.6643,-1.8384,0
-1.7589,-6.4624,8.4773,0.31981,1
3.8962,-4.7904,3.3954,-0.53751,0
1.164,3.913,-4.5544,-3.8672,1
2.877,-4.0599,3.6259,-0.32544,0
2.9719,6.8369,-0.2702,0.71291,0
4.7965,6.9859,-1.9967,-0.35001,0
-5.637,8.1261,0.13081,-5.0142,1
1.3419,-4.4221,8.09,-1.7349,0
1.0194,1.1029,-2.3,0.59395,1
-6.5084,8.7696,0.23191,-3.937,1
-1.6001,-9.5828,9.4044,0.081882,1
2.1948,1.3781,1.1582,0.85774,0
-1.0744,-6.3113,5.355,0.80472,1
1.2279,4.0309,-4.6435,-3.9125,1
3.6922,-3.9585,4.3439,1.3517,0
-3.7503,-13.4586,17.5932,-2.7771,1
4.1927,-3.2674,2.5839,0.21766,0
-3.2854,4.0372,-0.45356,-1.8228,1
-0.8471,3.1329,-3.0112,-2.9388,1
-2.8267,-9.0407,9.0694,-0.98233,1
1.5902,2.2948,3.2403,0.18404,0
-0.7351,1.7361,-1.4938,-1.1582,1
3.8384,6.1851,-2.0439,-0.033204,0
0.74307,11.17,-1.3824,-4.0728,0
1.9818,9.2621,-3.521,-1.872,0
-2.7028,1.6327,0.83598,-0.091393,1
1.1166,8.6496,-0.96252,-1.8112,0
1.3638,-4.7759,8.4182,-1.8836,0
3.5257,1.2829,1.9276,1.7991,0
0.3223,-0.89808,8.0883,0.69222,0
2.2091,7.4556,-1.3284,-3.3021,0
1.6849,8.7489,-1.2641,-1.3858,0
-0.11783,-1.5789,8.03,-0.028031,0
-0.62043,0.5587,-0.38587,-0.66423,1
0.24835,7.6439,0.9885,-0.87371,0
-3.793,-12.7095,12.7957,-2.825,1
-1.8076,-8.8131,8.7086,-0.21682,1
0.86202,2.6963,4.2908,0.54739,0
